Curso;Unidade Curricular;Turno;Turma;Inscritos no turno;Dia da semana;Hora início da aula;Hora fim da aula;Data da aula;Características da sala pedida para a aula;Sala atribuída à aula
LIGE, LIGE-PL;FUNDAMENTOS DE CONTABILIDADE DE GESTAO;01768T02;IGE-B9, IGE-B8, IGE-B7, IGE-B6, IGE-B5, IGE-B4, IGE-B3, IGE-B2, IGE-B12, IGE-B11, IGE-B10, IGE-B1;69;Seg;08:00:00;09:30:00;12/09/2022;Sala de Aulas normal;C5.07;1;37
LGM;COMPORTAMENTO E EXPERIENCIA DO CONSUMIDOR;L1903TP01;GMKB1;43;Seg;08:00:00;09:30:00;12/09/2022;Sala de Aulas normal;C4.01;1;37
LGM;COMUNICACAO INTEGRADA EM MARKETING;L5189TP02;GMKC2;35;Seg;08:00:00;09:30:00;12/09/2022;Sala de Aulas normal;C5.02;1;37
LGIL;GESTAO DA CADEIA DE ABASTECIMENTO;L5045TP02;GILC2;28;Seg;08:00:00;09:30:00;12/09/2022;Sala de Aulas normal;C6.02;1;37
LE;ECONOMETRIA II;L0287TP01;EC1;23;Seg;08:00:00;09:30:00;12/09/2022;Laboratório de Informática;;1;37
LG, LGM;MARKETING OPERACIONAL;MOPETP01;GB3;40;Seg;08:00:00;09:30:00;12/09/2022;Sala de Aulas normal;1E06;1;37
LFC;AVALIACAO E REESTRUTURACAO DE EMPRESAS;L5036TP01;FCC2;26;Seg;08:00:00;09:30:00;12/09/2022;Sala de Aulas normal;C4.06;1;37
LG, LGM;MARKETING OPERACIONAL;MOPETP05;GB2;40;Seg;08:00:00;09:30:00;12/09/2022;Sala de Aulas normal;1E04;1;37
LETI, LEI, LEI-PL, LIGE, LIGE-PL;BASES DE DADOS;03724TP01;EI-B9, EI-B8, EI-B7, EI-B6, EI-B5, EI-B4, EI-B3, EI-B2, EI-B12, EI-B11, EI-B10, EI-B1;81;Seg;08:00:00;09:30:00;12/09/2022;BYOD (Bring Your Own Device);Auditório 1;1;37
LGM;GESTAO DE VENDAS;L1828TP01;GMKC1;25;Seg;08:00:00;09:30:00;12/09/2022;Sala de Aulas normal;C4.02;1;37
MGST;SIMULACAO DE SISTEMAS E OPERACOES;01323TP01;MGSTA1;38;Seg;08:00:00;09:30:00;12/09/2022;Sala Aulas Mestrado Plus;AA3.25;1;37
LFC, LG;ESTATISTICA I;L0119T03;GIB2, GIB1;50;Seg;08:00:00;09:30:00;12/09/2022;Anfiteatro aulas;Auditório 0NE02-Caiano Pereira;1;37
LIGE, LIGE-PL;GESTAO DAS OPERACOES E DA CADEIA DE ABASTECIMENTO;03745TP01;IGE-D2, IGE-D1;66;Seg;08:00:00;09:30:00;12/09/2022;Sala/anfiteatro aulas;Auditório 0NE01;1;37
LFC;AVALIACAO E REESTRUTURACAO DE EMPRESAS;L5036TP03;FCC3;39;Seg;08:00:00;09:30:00;12/09/2022;Sala de Aulas normal;1E10;1;37
LE, LFC, LG, LGM, LGRH, LGIL;CONTABILIDADE FINANCEIRA I;L0638T04;GIA2, GIA1;63;Seg;08:00:00;09:30:00;12/09/2022;Anfiteatro aulas;;1;37
LFC, LG;FISCALIDADE;L0605TP01;FCC1;27;Seg;08:00:00;09:30:00;12/09/2022;Sala de Aulas normal;1E08;1;37
LETI;TEORIA DOS CIRCUITOS;L2001T01;ET-B9, ET-B8, ET-B7, ET-B6, ET-B5, ET-B4, ET-B3, ET-B2, ET-B12, ET-B11, ET-B10, ET-B1;72;Seg;08:00:00;09:30:00;12/09/2022;Sala de Aulas normal;Auditório 0NE03 - Mário Murteira;1;37
LG;GESTAO INTEGRADA DAS OPERACOES;02031T02;GIC2, GIC1;99;Seg;08:00:00;09:30:00;12/09/2022;Sala/anfiteatro aulas;Auditório Afonso de Barros;1;37
LG;GESTAO INTEGRADA DAS OPERACOES;02031T01;GC5, GC4, GC3, GC2, GC1;183;Seg;08:00:00;09:30:00;12/09/2022;Anfiteatro aulas;Auditório 4;1;37
CIIBS;LIDERANCA E GOVERNANCA ORGANIZACIONAL;L5057TP01;CI-IBS-1;50;Seg;08:00:00;09:30:00;12/09/2022;Sala de Aulas normal;AA2.29;1;37
MG;CONTABILIDADE AVANCADA;M8488TP01;MGA2;47;Seg;09:30:00;11:00:00;12/09/2022;Sala Aulas Mestrado;B2.02;1;37
LEI, LEI-PL;TEORIA DA COMPUTACAO;L5103TP01;EI-B9, EI-B8, EI-B7, EI-B12, EI-B11, EI-B10;38;Seg;09:30:00;11:00:00;12/09/2022;Sala de Aulas normal;1E10;1;37
LG;MACROECONOMIA;L0236T05;GIB2, GIB1;54;Seg;09:30:00;11:00:00;12/09/2022;Anfiteatro aulas;Auditório B1.03;1;37
LHMC;MARGINALIDADE E CONTROLO SOCIAL;L5195T01;HMCC1, HMCB1;50;Seg;09:30:00;11:00:00;12/09/2022;Sala de Aulas normal;;1;37
MGSS;GESTAO DE UNIDADES DE SAUDE;M2356TP01;MGSSA1;39;Seg;09:30:00;11:00:00;12/09/2022;Sala Aulas Mestrado;AA3.23;1;37
LGIL;GESTAO INTEGRADA DA QUALIDADE;00489TP01;GILC1;27;Seg;09:30:00;11:00:00;12/09/2022;Sala de Aulas normal;AA3.28;1;37
LG;EMPREENDEDORISMO;EMPTP04;GC1;53;Seg;09:30:00;11:00:00;12/09/2022;Sala de Aulas normal;2E04;1;37
LGIL;GESTAO DA CADEIA DE ABASTECIMENTO;L5045TP02;GILC2;28;Seg;09:30:00;11:00:00;12/09/2022;Sala de Aulas normal;C6.02;1;37
MG;ESTRATEGIA FINANCEIRA DA EMPRESA;M8136TP02;MGA1;47;Seg;09:30:00;11:00:00;12/09/2022;Sala Aulas Mestrado;B2.01;1;37
LETI, LEI, LEI-PL, LIGE, LIGE-PL;BASES DE DADOS;03724TP09;IGE-B9, IGE-B8, IGE-B7, IGE-B6, IGE-B5, IGE-B4, IGE-B3, IGE-B2, IGE-B12, IGE-B11, IGE-B10, IGE-B1;69;Seg;09:30:00;11:00:00;12/09/2022;BYOD (Bring Your Own Device);C6.07;1;37
LGM;ANALISE DE DADOS EM MARKETING;ADMKTTP01;GMKB1;46;Seg;09:30:00;11:00:00;12/09/2022;Sala de Aulas normal;C4.01;1;37
LFC, LG;FISCALIDADE;L0605TP02;FCC2;25;Seg;09:30:00;11:00:00;12/09/2022;Sala de Aulas normal;AA3.29;1;37
LG;FINANCAS DE EMPRESA;FEMPTP02;GC5, GC4;56;Seg;09:30:00;11:00:00;12/09/2022;Sala de Aulas normal;Auditório 0NE02-Caiano Pereira;1;37
LG;EMPREENDEDORISMO;EMPTP09;GIC3;34;Seg;09:30:00;11:00:00;12/09/2022;Sala/anfiteatro aulas;D1.05;1;37
LFC;FINANCAS INTERNACIONAIS;L0626TP02;FCC3;39;Seg;09:30:00;11:00:00;12/09/2022;Sala de Aulas normal;C5.02;1;37
LGRH;DIAGNOSTICO E MUDANCA ORGANIZACIONAL;DMOTP01;GRHC1;29;Seg;09:30:00;11:00:00;12/09/2022;Sala de Aulas normal;C5.01;1;37
LIGE, LIGE-PL;GESTAO DE PROJECTOS DE TECNOLOGIA E SISTEMAS DE INFORMACAO;L5249T01;IGE-D2, IGE-D1;88;Seg;09:30:00;11:00:00;12/09/2022;Sala de Aulas normal;C5.07;1;37
LG;MACROECONOMIA;L0236T04;GB3, GB2, GB1;115;Seg;09:30:00;11:00:00;12/09/2022;Anfiteatro aulas;Auditório 1;1;37
MGE;LIDERANCA E GESTAO DE RECURSOS HUMANOS;M9126TP01;MGEA2;42;Seg;09:30:00;11:00:00;12/09/2022;Sala Aulas Mestrado;AA2.24;1;37
MGST;SIMULACAO DE SISTEMAS E OPERACOES;01323TP01;MGSTA1;38;Seg;09:30:00;11:00:00;12/09/2022;Sala Aulas Mestrado Plus;AA3.25;1;37
LG, LGIL;ESTRATEGIA EMPRESARIAL;EETP06;GC3;41;Seg;09:30:00;11:00:00;12/09/2022;Sala/anfiteatro aulas;1E04;1;37
LGM;COMUNICACAO INTEGRADA EM MARKETING;L5189TP01;GMKC1;28;Seg;09:30:00;11:00:00;12/09/2022;Sala de Aulas normal;C4.02;1;37
CIESPP;SOCIOLOGIA DO DIREITO;L0919TP01;CI-ESPP-1;49;Seg;09:30:00;11:00:00;12/09/2022;Sala de Aulas normal;2E10;1;37
LE, LPES;ECONOMIA E POLITICAS DE DESENVOLVIMENTO;L0247T01;EC2, EC1, EC3;72;Seg;09:30:00;11:00:00;12/09/2022;Sala/anfiteatro aulas;2E05;1;37
LETI, LEI, LEI-PL, LIGE, LIGE-PL;PROGRAMACAO ORIENTADA PARA OBJECTOS;L5315TP15;ET-B9, ET-B8, ET-B7, ET-B6, ET-B5, ET-B4, ET-B3, ET-B2, ET-B12, ET-B11, ET-B10, ET-B1;67;Seg;09:30:00;11:00:00;12/09/2022;Sala/anfiteatro aulas;Auditório 4;1;37
LGRH;DESENHO DE SISTEMAS DE RECOMPENSA E CARREIRAS;DSRCTP01;GRHB1;50;Seg;09:30:00;11:00:00;12/09/2022;Sala de Aulas normal;C4.07;1;37
MGE;GESTAO DO MARKETING (2. CICLO - CH);M9124TP01;MGEA1;38;Seg;09:30:00;11:00:00;12/09/2022;Sala Aulas Mestrado;C3.02;1;37
LFC;CALCULO FINANCEIRO;L0103TP01;FCB1;44;Seg;09:30:00;11:00:00;12/09/2022;Sala de Aulas normal;2E02;1;37
LFC;INVESTIMENTOS;L0646TP02;FCB2;46;Seg;09:30:00;11:00:00;12/09/2022;Sala de Aulas normal;C5.06;1;37
LG, LGIL;ESTRATEGIA EMPRESARIAL;EETP03;GC2;35;Seg;09:30:00;11:00:00;12/09/2022;Sala/anfiteatro aulas;2E06;1;37
LG;EMPREENDEDORISMO;EMPTP03;GIC1;51;Seg;09:30:00;11:00:00;12/09/2022;Sala de Aulas normal;Auditório 0NE03 - Mário Murteira;1;37
LFC;GESTAO DE ACTIVOS FINANCEIROS;L6046TP01;FCC1;32;Seg;09:30:00;11:00:00;12/09/2022;Sala de Aulas normal;1E08;1;37
MM;GESTAO DE MARCAS;M8345TP02;MMA2;41;Seg;09:30:00;11:00:00;12/09/2022;Sala Aulas Mestrado;AA2.29;1;37
LG, LGIL;ESTRATEGIA EMPRESARIAL;EETP09;GIC2;40;Seg;09:30:00;11:00:00;12/09/2022;Sala/anfiteatro aulas;1E05;1;37
LGM;GESTAO DE OPERACOES E LOGISTICA;L5041TP02;GMKC2;37;Seg;09:30:00;11:00:00;12/09/2022;Sala de Aulas normal;1E06;1;37
LEI, LEI-PL;TOPICOS DE MATEMATICA PARA COMPUTACAO;03723TP01;EI-B6, EI-B5, EI-B4, EI-B3, EI-B2, EI-B1;39;Seg;09:30:00;11:00:00;12/09/2022;Sala de Aulas normal;C6.10;1;37
MG;CONTABILIDADE AVANCADA;M8488TP01;MGA2;47;Seg;11:00:00;12:30:00;12/09/2022;Sala Aulas Mestrado;B2.02;1;37
LE;ECONOMETRIA II;L0287TP02;EC2;32;Seg;11:00:00;12:30:00;12/09/2022;Laboratório de Informática;;1;37
LG, LGIL;ESTRATEGIA EMPRESARIAL;EETP04;GIC1;62;Seg;11:00:00;12:30:00;12/09/2022;Sala de Aulas normal;Auditório Silva Leal;1;37
CIECSH;OS DESAFIOS DA CULTURA, DA CIDADANIA E DOS DIREITOS HUMANOS;03433TP01;CI-ECSH 1;48;Seg;11:00:00;12:30:00;12/09/2022;Sala de Aulas normal;Auditório 0NE01;1;37
LHMC;MARGINALIDADE E CONTROLO SOCIAL;L5195T01;HMCC1, HMCB1;50;Seg;11:00:00;12:30:00;12/09/2022;Sala de Aulas normal;;1;37
LGM;GESTAO DE VENDAS;L1828TP02;GMKC2;34;Seg;11:00:00;12:30:00;12/09/2022;Sala de Aulas normal;C2.01;1;37
MGSS;GESTAO DE UNIDADES DE SAUDE;M2356TP01;MGSSA1;39;Seg;11:00:00;12:30:00;12/09/2022;Sala Aulas Mestrado;AA3.23;1;37
LETI, LEI, LEI-PL, LIGE, LIGE-PL;PROGRAMACAO ORIENTADA PARA OBJECTOS;L5315TP07;EI-B9, EI-B8, EI-B7, EI-B6, EI-B5, EI-B4, EI-B3, EI-B2, EI-B12, EI-B11, EI-B10, EI-B1;74;Seg;11:00:00;12:30:00;12/09/2022;Sala/anfiteatro aulas;Auditório 4;1;37
LIGE, LIGE-PL;GESTAO DE PROJECTOS DE TECNOLOGIA E SISTEMAS DE INFORMACAO;L5249TP03;IGE-D2;35;Seg;11:00:00;12:30:00;12/09/2022;Sala de Aulas normal;C5.07;1;37
LG, LGIL;ESTRATEGIA EMPRESARIAL;EETP01;GC1;53;Seg;11:00:00;12:30:00;12/09/2022;Sala de Aulas normal;2E04;1;37
LFC;GESTAO DE ACTIVOS FINANCEIROS;L6046TP02;FCC3;39;Seg;11:00:00;12:30:00;12/09/2022;Sala de Aulas normal;C4.06;1;37
LG;EMPREENDEDORISMO;EMPTP08;GIC2;66;Seg;11:00:00;12:30:00;12/09/2022;Sala de Aulas normal;Auditório Afonso de Barros;1;37
LG;MODELOS ORGANIZACIONAIS;MOT02;GB1;31;Seg;11:00:00;12:30:00;12/09/2022;Sala de Aulas normal;1E02;1;37
CT;MANDARIM E CULTURA CHINESA;MCCT01;CI-CT-01;27;Seg;11:00:00;12:30:00;12/09/2022;Sala de Aulas normal;2E10;1;37
MG;ESTRATEGIA FINANCEIRA DA EMPRESA;M8136TP02;MGA1;47;Seg;11:00:00;12:30:00;12/09/2022;Sala Aulas Mestrado;B2.01;1;37
LFC;INVESTIMENTOS;L0646TP01;FCB1;49;Seg;11:00:00;12:30:00;12/09/2022;Sala de Aulas normal;2E02;1;37
LFC, LG;FISCALIDADE;L0605TP02;FCC2;25;Seg;11:00:00;12:30:00;12/09/2022;Sala/anfiteatro aulas;AA3.29;1;37
LG;EMPREENDEDORISMO;EMPTP07;GC2;42;Seg;11:00:00;12:30:00;12/09/2022;Sala/anfiteatro aulas;AA3.30;1;37
LFC, LG;CONTABILIDADE DE GESTAO II;L0644T02;GIB2, GIB1;62;Seg;11:00:00;12:30:00;12/09/2022;Anfiteatro aulas;C6.10;1;37
LGRH;DIAGNOSTICO E MUDANCA ORGANIZACIONAL;DMOTP01;GRHC1;29;Seg;11:00:00;12:30:00;12/09/2022;Sala de Aulas normal;C5.01;1;37
LG;FINANCAS DE EMPRESA;FEMPTP01;GC3;43;Seg;11:00:00;12:30:00;12/09/2022;Sala de Aulas normal;1E05;1;37
LG, LGM;MARKETING OPERACIONAL;MOPETP02;GMKB1;42;Seg;11:00:00;12:30:00;12/09/2022;Sala de Aulas normal;C4.01;1;37
LFC;FINANCAS INTERNACIONAIS;L0626TP01;FCC1;25;Seg;11:00:00;12:30:00;12/09/2022;Sala de Aulas normal;C5.02;1;37
MGE;LIDERANCA E GESTAO DE RECURSOS HUMANOS;M9126TP01;MGEA2;42;Seg;11:00:00;12:30:00;12/09/2022;Sala Aulas Mestrado;AA2.24;1;37
LFC, LG;ESTATISTICA I;L0119TP01;GB2;42;Seg;11:00:00;12:30:00;12/09/2022;Sala de Aulas normal;;1;37
MGHT;ANALISE DE DADOS EM HOTELARIA E TURISMO;03172TP01;MGHTA1;27;Seg;11:00:00;12:30:00;12/09/2022;BYOD (Bring Your Own Device);0S08;1;37
LGIL;GESTAO INTEGRADA DA QUALIDADE;00489TP02;GILC2;28;Seg;11:00:00;12:30:00;12/09/2022;Sala de Aulas normal;C6.02;1;37
CIESPP;SOCIOLOGIA DOS MEDIA;L5126TP01;CI-ESPP-1;58;Seg;11:00:00;12:30:00;12/09/2022;Sala de Aulas normal;C4.07;1;37
LG;EMPREENDEDORISMO;EMPTP02;GC5, GC4;51;Seg;11:00:00;12:30:00;12/09/2022;Sala de Aulas normal;Auditório 0NE02-Caiano Pereira;1;37
LE;ECONOMETRIA II;L0287TP03;EC3;25;Seg;11:00:00;12:30:00;12/09/2022;Laboratório de Informática;D1.04;1;37
LGRH;DESENHO DE SISTEMAS DE RECOMPENSA E CARREIRAS;DSRCTP01;GRHB1;50;Seg;11:00:00;12:30:00;12/09/2022;Sala/anfiteatro aulas;AA2.23;1;37
MGE;GESTAO DO MARKETING (2. CICLO - CH);M9124TP01;MGEA1;38;Seg;11:00:00;12:30:00;12/09/2022;Sala Aulas Mestrado;C3.02;1;37
LETI, LEI, LEI-PL, LIGE, LIGE-PL;PROGRAMACAO ORIENTADA PARA OBJECTOS;L5315TP12;IGE-B9, IGE-B8, IGE-B7, IGE-B6, IGE-B5, IGE-B4, IGE-B3, IGE-B2, IGE-B12, IGE-B11, IGE-B10, IGE-B1;72;Seg;11:00:00;12:30:00;12/09/2022;Sala/anfiteatro aulas;Auditório B1.03;1;37
LETI;FUNDAMENTOS DE SINAIS E SISTEMAS;03752T01;ET-B9, ET-B8, ET-B7, ET-B6, ET-B5, ET-B4, ET-B3, ET-B2, ET-B12, ET-B11, ET-B10, ET-B1;70;Seg;11:00:00;12:30:00;12/09/2022;Sala de Aulas normal;Auditório 0NE03 - Mário Murteira;1;37
MM;GESTAO DE MARCAS;M8345TP02;MMA2;41;Seg;11:00:00;12:30:00;12/09/2022;Sala Aulas Mestrado;AA2.29;1;37
LGM;GESTAO DE OPERACOES E LOGISTICA;L5041TP01;GMKC1;25;Seg;11:00:00;12:30:00;12/09/2022;Sala de Aulas normal;C4.02;1;37
LGIL;GESTAO DA CADEIA DE ABASTECIMENTO;L5045TP01;GILC1;26;Seg;11:00:00;12:30:00;12/09/2022;Sala de Aulas normal;AA3.28;1;37
LFC;CALCULO FINANCEIRO;L0103TP02;FCB2;39;Seg;11:00:00;12:30:00;12/09/2022;Sala de Aulas normal;C5.06;1;37
LS, LS-PL;CULTURA E SOCIEDADE;L5408TP01;SA2;32;Seg;11:00:00;12:30:00;12/09/2022;Não necessita de sala;;1;37
CIECSH;ISRAEL/PALESTINA: HISTORIA, ANTROPOLOGIA, POLITICA;02056TP01;CI-ECSH 1;51;Seg;13:00:00;14:30:00;12/09/2022;Sala de Aulas normal;2E06;1;37
LS, LS-PL;CULTURA E SOCIEDADE;L5408TP06;SA3;29;Seg;13:00:00;14:30:00;12/09/2022;Não necessita de sala;;1;37
LG;MACROECONOMIA;L0236T06;GB5, GB4;62;Seg;13:00:00;14:30:00;12/09/2022;Anfiteatro aulas;Auditório 0NE02-Caiano Pereira;1;37
CIECSH;ECONOMIA FINANCEIRA;00222TP01;CI-ECSH 1;40;Seg;13:00:00;14:30:00;12/09/2022;Sala de Aulas normal;AA2.23;1;37
LGIL;GESTAO DO RETALHO;L5048T01;GILB1;38;Seg;13:00:00;14:30:00;12/09/2022;Sala de Aulas normal;Auditório 1;1;37
LCD, LCD-PL;FUNDAMENTOS EM GESTAO DE BASES DE DADOS;03593TP05;CDB2;26;Seg;13:00:00;14:30:00;12/09/2022;Sala de Aulas normal;C6.02;1;37
LCD, LCD-PL;ESTATISTICA COMPUTACIONAL;03594TP01;CDB1;38;Seg;13:00:00;14:30:00;12/09/2022;Sala de Aulas normal;C6.01;1;37
MGHT;ANALISE DE DADOS EM HOTELARIA E TURISMO;03172TP01;MGHTA1;27;Seg;13:00:00;14:30:00;12/09/2022;BYOD (Bring Your Own Device);0S08;1;37
CIESPP;SOCIOLOGIA DOS MEDIA;L5126TP01;CI-ESPP-1;58;Seg;13:00:00;14:30:00;12/09/2022;Sala de Aulas normal;C4.07;1;37
ME;MICROECONOMIA (2 CICLO);01788TP01;MEA1;24;Seg;13:00:00;14:30:00;12/09/2022;Sala Aulas Mestrado;AA2.25;1;37
CCG;GESTAO FISCAL;04285TP01;MCCGA1;37;Seg;13:00:00;14:30:00;12/09/2022;Sala Aulas Mestrado;C4.08;1;37
LCD, LCD-PL;INTERFACES WEB PARA A GESTAO DE DADOS;IWGDTP01;CDC1;27;Seg;13:00:00;14:30:00;12/09/2022;BYOD (Bring Your Own Device);D1.07;1;37
LETI, LEI, LEI-PL, LIGE, LIGE-PL;INTRODUCAO A PROGRAMACAO;L0782T01;IGE-A9, IGE-A8, IGE-A7, IGE-A6, IGE-A5, IGE-A4, IGE-A3, IGE-A2, IGE-A12, IGE-A11, IGE-A10, IGE-A1;93;Seg;13:00:00;14:30:00;12/09/2022;Não necessita de sala;;1;37
LETI, LEI, LEI-PL, LIGE, LIGE-PL;ARQUITETURA DE REDES;03708T01;ET-C6, ET-C5, ET-C4, ET-C3, ET-C2, ET-C1;66;Seg;13:00:00;14:30:00;12/09/2022;Anfiteatro aulas;C5.06;1;37
CIIBS;FUSES, AQUISICOES E AVALIACAO DE EMPRESAS;L0641TP01;CI-IBS-1;58;Seg;13:00:00;14:30:00;12/09/2022;Sala de Aulas normal;Auditório Afonso de Barros;1;37
MG;CONTABILIDADE AVANCADA;M8488TP02;MGA1;46;Seg;13:00:00;14:30:00;12/09/2022;Sala Aulas Mestrado;B2.01;1;37
MG;ESTRATEGIA FINANCEIRA DA EMPRESA;M8136TP03;MGA2;46;Seg;13:00:00;14:30:00;12/09/2022;Sala Aulas Mestrado;B2.02;1;37
LE;DIREITO ECONOMICO;L0307T01;EB3, EB2, EB1;52;Seg;13:00:00;14:30:00;12/09/2022;Sala/anfiteatro aulas;1E02;1;37
LEI, LEI-PL, LIGE, LIGE-PL;PROGRAMACAO CONCORRENTE E DISTRIBUIDA;L5096T01;IGE-C6, IGE-C5, IGE-C4, IGE-C3, IGE-C2, IGE-C1;83;Seg;13:00:00;14:30:00;12/09/2022;Sala de Aulas normal;Auditório B2.04;1;37
LEI, LEI-PL;AGENTES AUTONOMOS;03727T02;EI-C6, EI-C5, EI-C4, EI-C3, EI-C2, EI-C1;87;Seg;13:00:00;14:30:00;12/09/2022;Sala de Aulas normal;Auditório B1.03;1;37
LETI, LEI, LEI-PL, LIGE, LIGE-PL;ARQUITETURA DE REDES;03708T02;EI-C6, EI-C5, EI-C4, EI-C3, EI-C2, EI-C1;99;Seg;14:30:00;16:00:00;12/09/2022;Anfiteatro aulas;Auditório B1.03;1;37
LS, LS-PL;TEORIAS SOCIOLOGICAS CONTEMPORANEAS;L6103TP03;SB2, SB1;61;Seg;14:30:00;16:00:00;12/09/2022;Sala de Aulas normal;AA3.28;1;37
